"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_22_loc71_20140924_PICT0100"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0101"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0102"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0103"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0104"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0106"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0107"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0108"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0109"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0110"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0111"	"hoofed.animal"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0112"	"hoofed.animal"	"hoofed.animal"	0.75	0.75	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0114"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0115"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0118"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0119"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0120"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_22_loc71_20140924_PICT0122"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0125"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0127"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0131"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
"TaiEast_22_loc71_20140924_PICT0133"	"hoofed.animal"	"hoofed.animal"	1	1	"Consensus reached"
