"Video.ID"	"PE.Species"	"Consensus.Species"	"Consensus.Prop"	"Prop.Agreement"	"Consensus.Type"
"TaiEast_52_loc31_20141016_PICT0036"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0037"	"red duiker"	"red duiker"	0.875	0.875	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0039"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0042"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0044"	"small grey duiker"	"small grey duiker"	0.6	0.6	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0045"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0046"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0047"	"red duiker"	"red duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0048"	"zebra duiker"	"zebra duiker"	0.75	0.75	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0049"	"small grey duiker"	"small grey duiker"	0.75	0.75	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0050"	"small grey duiker"	"small grey duiker"	0.6	0.6	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0051"	"red duiker"	"red duiker"	0.555555555555556	0.555555555555556	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0053"	"small grey duiker"	"small grey duiker"	0.555555555555556	0.555555555555556	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0055"	"red duiker"	"red duiker"	0.75	0.75	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0057"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0060"	"small grey duiker"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0061"	"red duiker"	"red duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0063"	"small grey duiker"	"small grey duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0065"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0066"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0073"	"red duiker"	"red duiker"	0.555555555555556	0.555555555555556	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0075"	"small grey duiker"	"small grey duiker"	0.857142857142857	0.857142857142857	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0077"	"small grey duiker"	"small grey duiker"	0.875	0.875	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0078"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0079"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0081"	"blank"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0083"	"zebra duiker"	"zebra duiker"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0087"	"other (primate)"	"other (primate)"	1	1	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0088"	"other (primate)"	"blank"	NA	NA	"Consensus blank"
"TaiEast_52_loc31_20141016_PICT0090"	"small grey duiker"	"small grey duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0093"	"small grey duiker"	"small grey duiker"	0.777777777777778	0.777777777777778	"Consensus reached"
"TaiEast_52_loc31_20141016_PICT0095"	"zebra duiker"	"zebra duiker"	1	1	"Consensus reached"
